Full Name,Date of Birth,Nationality,Gender,Marital Status,Occupation,Employer,Years with Employer,Residential Address,Phone Number,Email,Account Type,Account Number,Currency,Annual Salary (CHF),Monthly Rental Income (CHF),Total Assets (CHF),Total Deposits (CHF),Total Withdrawals (CHF),Active Loans,Banking Products Used,Source of Wealth,Investment Knowledge,Investment Objective,Risk Profile,Compliance Notes,PEP Status,Sanctions Check,AML Risk,Geographical Risk,bu_name,pc_segment,client portfolio,RM,Story of Wealth,Affluence
Thomas Lawson,1976-11-13,CH,Male,Divorced,Best boy,Paul-Yoder,28,"PSC 1278, Box 1998, APO AE 58662",001-806-811-4904x58067,tbowman@example.com,Savings,FMIT34585303911879,CHF,112235.36,4153.44,702322.36,212491.16,51914.6,3,"['Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,Medium,Low,LI,Com. & Retail,"[{'Stock': 'META', 'Shares Owned': 344, 'Allocation (%)': 31.89}, {'Stock': 'GOOGL', 'Shares Owned': 235, 'Allocation (%)': 6.78}, {'Stock': 'CAT', 'Shares Owned': 120, 'Allocation (%)': 14.27}, {'Stock': 'ARKQ', 'Shares Owned': 391, 'Allocation (%)': 26.11}, {'Stock': 'AMZN', 'Shares Owned': 146, 'Allocation (%)': 3.85}, {'Stock': 'LVMH', 'Shares Owned': 499, 'Allocation (%)': 7.44}, {'Stock': 'XOM', 'Shares Owned': 87, 'Allocation (%)': 3.65}, {'Stock': 'GE', 'Shares Owned': 445, 'Allocation (%)': 1.63}, {'Stock': 'Volkswagen', 'Shares Owned': 197, 'Allocation (%)': 2.41}, {'Stock': 'EEM', 'Shares Owned': 448, 'Allocation (%)': 1.9699999999999998}]",Mary Greene, ran a quant hedge fund and retired early.,Non-Affluent
Calvin Wang,1984-08-31,LI,Female,Widowed,Banker,"Mitchell, Rangel and Coleman",9,"3523 Sutton Mission Suite 456, Downsburgh, OK 72466",231-591-7215,umcdonald@example.net,Checking,WEAH19265442882686,CHF,61497.84,5904.44,555738.84,38354.04,222913.52,3,['Savings Account'],"Salary, Real Estate, Capital Gains",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Capital Preservation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,High,Medium,BVI,Com. & Retail,"[{'Stock': 'TSLA', 'Shares Owned': 253, 'Allocation (%)': 55.24}, {'Stock': 'BTC', 'Shares Owned': 252, 'Allocation (%)': 11.73}, {'Stock': 'SAP', 'Shares Owned': 117, 'Allocation (%)': 1.2}, {'Stock': 'TIP', 'Shares Owned': 50, 'Allocation (%)': 14.15}, {'Stock': 'BA', 'Shares Owned': 176, 'Allocation (%)': 8.68}, {'Stock': 'META', 'Shares Owned': 45, 'Allocation (%)': 4.86}, {'Stock': 'AAPL', 'Shares Owned': 80, 'Allocation (%)': 1.07}, {'Stock': 'NEE', 'Shares Owned': 84, 'Allocation (%)': 1.03}, {'Stock': 'LVMH', 'Shares Owned': 322, 'Allocation (%)': 1.01}, {'Stock': 'SPY', 'Shares Owned': 412, 'Allocation (%)': 1.0299999999999991}]",Mary Greene, built a fintech startup and lives quietly by the sea.,Affluent
Jimmy Hill,1975-06-25,LI,Male,Married,Tour manager,Alvarado Ltd,26,"821 Turner Forges Suite 091, Coxtown, MH 93925",357.390.4104,xgordon@example.org,Savings and Investment,TPJA88438829151984,CHF,132375.6,1592.56,172394.28,177414.04,144621.04,1,['Savings Account'],"Salary, Real Estate, Capital Gains","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Aggressive Growth,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Medium,Low,LI,EAM,"[{'Stock': 'ADA', 'Shares Owned': 165, 'Allocation (%)': 17.57}, {'Stock': 'Roche', 'Shares Owned': 273, 'Allocation (%)': 25.38}, {'Stock': 'Novartis', 'Shares Owned': 260, 'Allocation (%)': 43.09}, {'Stock': 'Siemens', 'Shares Owned': 406, 'Allocation (%)': 2.52}, {'Stock': 'SOL', 'Shares Owned': 84, 'Allocation (%)': 4.91}, {'Stock': 'SAP', 'Shares Owned': 85, 'Allocation (%)': 2.38}, {'Stock': 'GOOGL', 'Shares Owned': 260, 'Allocation (%)': 1.06}, {'Stock': 'ARKF', 'Shares Owned': 319, 'Allocation (%)': 1.05}, {'Stock': 'META', 'Shares Owned': 308, 'Allocation (%)': 1.03}, {'Stock': 'TIP', 'Shares Owned': 161, 'Allocation (%)': 1.010000000000008}]",Cynthia Baker, focused on real estate and retired early.,UHNWI
Dr. Tristan Robbins,1966-11-16,LI,Female,Single,Archaeologist,"Hanson, Schultz and Blair",20,"30281 Soto Light Apt. 846, Port Kelsey, VA 22169",608-807-2408,david11@example.com,Savings,DFRP34615327613182,CHF,108413.08,5340.72,407966.0,114228.44,220839.52,0,"['Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Moderate Growth,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,Low,Low,SG,Com. & Retail,"[{'Stock': 'GE', 'Shares Owned': 346, 'Allocation (%)': 53.88}, {'Stock': 'USO', 'Shares Owned': 221, 'Allocation (%)': 23.77}, {'Stock': 'INTC', 'Shares Owned': 422, 'Allocation (%)': 12.96}, {'Stock': 'Novartis', 'Shares Owned': 384, 'Allocation (%)': 2.81}, {'Stock': 'XOM', 'Shares Owned': 74, 'Allocation (%)': 1.3}, {'Stock': 'CVX', 'Shares Owned': 243, 'Allocation (%)': 1.06}, {'Stock': 'BND', 'Shares Owned': 78, 'Allocation (%)': 1.14}, {'Stock': 'NEE', 'Shares Owned': 443, 'Allocation (%)': 1.03}, {'Stock': 'GOOGL', 'Shares Owned': 169, 'Allocation (%)': 1.02}, {'Stock': 'ARKK', 'Shares Owned': 395, 'Allocation (%)': 1.0299999999999971}]",Cynthia Baker, bet big on crypto and lives quietly by the sea.,Affluent
Lisa Stewart,1963-10-30,LI,Female,Divorced,Cytogeneticist,Williams and Sons,8,"569 Elizabeth River Apt. 447, West Kathrynland, GA 44782",508.600.5327,antonio72@example.net,Checking,RYNO60418752287752,CHF,123088.84,6660.6,721569.08,270472.04,214907.88,1,['Savings Account'],"Business Income, Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,High,High,LU,Com. & Retail,"[{'Stock': 'BASF', 'Shares Owned': 212, 'Allocation (%)': 2.06}, {'Stock': 'ARKF', 'Shares Owned': 435, 'Allocation (%)': 87.77}, {'Stock': 'SAP', 'Shares Owned': 38, 'Allocation (%)': 3.11}, {'Stock': 'ARKQ', 'Shares Owned': 148, 'Allocation (%)': 1.05}, {'Stock': 'NVDA', 'Shares Owned': 288, 'Allocation (%)': 1.01}, {'Stock': 'BND', 'Shares Owned': 78, 'Allocation (%)': 1.0}, {'Stock': 'GLD', 'Shares Owned': 481, 'Allocation (%)': 1.0}, {'Stock': 'ADBE', 'Shares Owned': 211, 'Allocation (%)': 1.0}, {'Stock': 'BA', 'Shares Owned': 144, 'Allocation (%)': 1.0}, {'Stock': 'AGG', 'Shares Owned': 340, 'Allocation (%)': 1.0000000000000027}]",Cynthia Baker, launched a coffee chain and keeps growing steadily.,UHNWI
Brian Foster,1966-11-03,DE,Female,Married,Magazine features editor,Berry-Lewis,8,"Unit 3266 Box 9864, DPO AE 95281",770-865-6182x07637,adamsmatthew@example.net,Savings and Investment,NQQY12734262206750,CHF,60140.56,6402.88,1050952.24,131378.72,62756.52,3,"['Savings Account', 'Investment Account']","Inheritance, Savings, Salary",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Capital Preservation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,High,Low,BVI,EAM,"[{'Stock': 'ARKK', 'Shares Owned': 360, 'Allocation (%)': 44.53}, {'Stock': 'GOOGL', 'Shares Owned': 329, 'Allocation (%)': 10.31}, {'Stock': 'CVX', 'Shares Owned': 127, 'Allocation (%)': 28.9}, {'Stock': 'Volkswagen', 'Shares Owned': 365, 'Allocation (%)': 4.39}, {'Stock': 'SAP', 'Shares Owned': 260, 'Allocation (%)': 6.36}, {'Stock': 'BASF', 'Shares Owned': 186, 'Allocation (%)': 1.12}, {'Stock': 'ETH', 'Shares Owned': 314, 'Allocation (%)': 1.27}, {'Stock': 'Allianz', 'Shares Owned': 479, 'Allocation (%)': 1.02}, {'Stock': 'META', 'Shares Owned': 206, 'Allocation (%)': 1.02}, {'Stock': 'Siemens', 'Shares Owned': 347, 'Allocation (%)': 1.079999999999997}]",Cynthia Baker, focused on real estate but lost it all in a crash.,UHNWI
Tyler Jones,1997-05-07,LI,Male,Single,Information systems manager,Bell-Johnson,24,"0710 Larson Mount, Christopherburgh, DE 04171",+1-885-408-9585x8800,bjohnson@example.net,Checking,ZKPT01467599395250,CHF,65143.32,6600.76,192896.28,321918.12,245786.68,1,"['Savings Account', 'Investment Account']","Inheritance, Savings, Salary",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Aggressive Growth,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Low,High,CH,RM serviced PB,"[{'Stock': 'QQQ', 'Shares Owned': 142, 'Allocation (%)': 12.92}, {'Stock': 'CAT', 'Shares Owned': 432, 'Allocation (%)': 44.95}, {'Stock': 'Roche', 'Shares Owned': 441, 'Allocation (%)': 5.41}, {'Stock': 'Allianz', 'Shares Owned': 257, 'Allocation (%)': 11.6}, {'Stock': 'SOL', 'Shares Owned': 438, 'Allocation (%)': 2.51}, {'Stock': 'GLD', 'Shares Owned': 79, 'Allocation (%)': 11.02}, {'Stock': 'AGG', 'Shares Owned': 112, 'Allocation (%)': 1.16}, {'Stock': 'INTC', 'Shares Owned': 247, 'Allocation (%)': 1.28}, {'Stock': 'ADA', 'Shares Owned': 63, 'Allocation (%)': 5.71}, {'Stock': 'SPY', 'Shares Owned': 402, 'Allocation (%)': 3.4400000000000004}]",Mary Greene, focused on real estate and achieved financial independence.,Affluent
Justin Adams,1975-08-29,DE,Female,Divorced,Archivist,Sullivan-Johnson,13,"854 Patricia Tunnel Apt. 059, Ramosport, MH 97081",(633)794-8441x528,samuelmoody@example.com,Checking,PWRA47788328158542,CHF,60657.36,6003.04,572426.04,59540.12,229576.84,3,"['Savings Account', 'Investment Account']","Business Income, Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Capital Preservation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Medium,High,LI,Com. & Retail,"[{'Stock': 'CVX', 'Shares Owned': 455, 'Allocation (%)': 38.05}, {'Stock': 'Volkswagen', 'Shares Owned': 376, 'Allocation (%)': 11.07}, {'Stock': 'BA', 'Shares Owned': 51, 'Allocation (%)': 27.14}, {'Stock': 'BASF', 'Shares Owned': 238, 'Allocation (%)': 13.67}, {'Stock': 'Novartis', 'Shares Owned': 270, 'Allocation (%)': 1.88}, {'Stock': 'TSLA', 'Shares Owned': 65, 'Allocation (%)': 3.73}, {'Stock': 'SOL', 'Shares Owned': 265, 'Allocation (%)': 1.11}, {'Stock': 'INTC', 'Shares Owned': 370, 'Allocation (%)': 1.27}, {'Stock': 'MSFT', 'Shares Owned': 57, 'Allocation (%)': 1.01}, {'Stock': 'Siemens', 'Shares Owned': 17, 'Allocation (%)': 1.0700000000000005}]",Mary Greene, launched a coffee chain and keeps growing steadily.,UHNWI
William Green,1970-01-03,LI,Male,Single,Primary school teacher,Lopez and Sons,30,"74650 Riley Villages Suite 868, North Joshua, DE 73449",803.809.7323,sandersbrandon@example.com,Checking,NLIS55804175793986,CHF,73031.32,5928.92,989861.04,75430.36,22786.8,0,['Savings Account'],"Salary, Real Estate, Capital Gains","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Moderate Growth,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Low,High,CH,EAM,"[{'Stock': 'TSLA', 'Shares Owned': 283, 'Allocation (%)': 17.13}, {'Stock': 'XOM', 'Shares Owned': 287, 'Allocation (%)': 19.89}, {'Stock': 'BA', 'Shares Owned': 460, 'Allocation (%)': 28.67}, {'Stock': 'INTC', 'Shares Owned': 495, 'Allocation (%)': 5.74}, {'Stock': 'ARKG', 'Shares Owned': 142, 'Allocation (%)': 18.03}, {'Stock': 'AGG', 'Shares Owned': 393, 'Allocation (%)': 2.5}, {'Stock': 'Siemens', 'Shares Owned': 149, 'Allocation (%)': 2.77}, {'Stock': 'MSFT', 'Shares Owned': 154, 'Allocation (%)': 1.37}, {'Stock': 'AMZN', 'Shares Owned': 483, 'Allocation (%)': 2.4}, {'Stock': 'Novartis', 'Shares Owned': 65, 'Allocation (%)': 1.4999999999999996}]",Arthur Elliott, ran a quant hedge fund but lost it all in a crash.,Non-Affluent
Greg Dougherty,1973-11-22,DE,Female,Single,Haematologist,"Taylor, Roach and Wolfe",2,"2187 Blanchard Hollow Apt. 625, Arnoldberg, PA 40895",353.506.2767,shawn77@example.net,Savings and Investment,ILVK77451461019455,CHF,57560.64,4207.84,267436.52,248576.04,248036.8,2,"['Checking Account', 'Savings Account', 'Investment Account']","Business Income, Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Moderate Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,Low,High,LI,Com. & Retail,"[{'Stock': 'MSFT', 'Shares Owned': 84, 'Allocation (%)': 25.94}, {'Stock': 'Allianz', 'Shares Owned': 342, 'Allocation (%)': 35.0}, {'Stock': 'QQQ', 'Shares Owned': 221, 'Allocation (%)': 16.04}, {'Stock': 'SLV', 'Shares Owned': 290, 'Allocation (%)': 2.35}, {'Stock': 'TIP', 'Shares Owned': 56, 'Allocation (%)': 10.22}, {'Stock': 'ADBE', 'Shares Owned': 280, 'Allocation (%)': 5.01}, {'Stock': 'VTI', 'Shares Owned': 232, 'Allocation (%)': 1.82}, {'Stock': 'NFLX', 'Shares Owned': 205, 'Allocation (%)': 1.48}, {'Stock': 'SPY', 'Shares Owned': 149, 'Allocation (%)': 1.09}, {'Stock': 'CVX', 'Shares Owned': 464, 'Allocation (%)': 1.050000000000001}]",Cynthia Baker, focused on real estate and keeps growing steadily.,Non-Affluent
Miguel Nguyen,1969-03-04,DE,Female,Divorced,"Merchandiser, retail",Richardson LLC,6,"2119 Mills Orchard Apt. 236, Williamston, KS 97078",345-445-0501,kbarnes@example.org,Savings,TEZF23281999929588,CHF,60024.28,1399.44,594835.44,275419.04,100154.48,3,"['Checking Account', 'Savings Account']","Business Income, Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Moderate Growth,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.","Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,High,High,LU,Com. & Retail,"[{'Stock': 'ARKQ', 'Shares Owned': 257, 'Allocation (%)': 48.22}, {'Stock': 'LVMH', 'Shares Owned': 494, 'Allocation (%)': 10.79}, {'Stock': 'NFLX', 'Shares Owned': 278, 'Allocation (%)': 16.14}, {'Stock': 'SLV', 'Shares Owned': 195, 'Allocation (%)': 10.44}, {'Stock': 'EFA', 'Shares Owned': 490, 'Allocation (%)': 2.04}, {'Stock': 'SPY', 'Shares Owned': 98, 'Allocation (%)': 1.05}, {'Stock': 'ARKK', 'Shares Owned': 173, 'Allocation (%)': 1.78}, {'Stock': 'AGG', 'Shares Owned': 82, 'Allocation (%)': 4.85}, {'Stock': 'BTC', 'Shares Owned': 71, 'Allocation (%)': 3.03}, {'Stock': 'ARKG', 'Shares Owned': 185, 'Allocation (%)': 1.6600000000000015}]",Arthur Elliott, ran a quant hedge fund and became a mentor.,UHNWI
Eric Huerta,1971-07-01,CH,Female,Single,"Doctor, general practice",Brown-Freeman,7,"3181 Lam Oval Suite 119, West Jennifer, TX 46751",987.220.8041x905,brookerogers@example.com,Savings,PXPT18298382902902,CHF,103193.4,6247.16,140271.76,185715.48,83335.36,2,"['Checking Account', 'Savings Account', 'Investment Account']","Business Income, Investments","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Capital Preservation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,High,High,SG,RM serviced PB,"[{'Stock': 'NVDA', 'Shares Owned': 272, 'Allocation (%)': 67.63}, {'Stock': 'GE', 'Shares Owned': 251, 'Allocation (%)': 7.71}, {'Stock': 'BTC', 'Shares Owned': 93, 'Allocation (%)': 13.39}, {'Stock': 'LVMH', 'Shares Owned': 157, 'Allocation (%)': 3.92}, {'Stock': 'ARKG', 'Shares Owned': 380, 'Allocation (%)': 2.12}, {'Stock': 'SPY', 'Shares Owned': 488, 'Allocation (%)': 1.23}, {'Stock': 'ARKQ', 'Shares Owned': 333, 'Allocation (%)': 1.0}, {'Stock': 'SOL', 'Shares Owned': 470, 'Allocation (%)': 1.0}, {'Stock': 'Roche', 'Shares Owned': 27, 'Allocation (%)': 1.0}, {'Stock': 'SLV', 'Shares Owned': 438, 'Allocation (%)': 1.0000000000000036}]",Arthur Elliott, focused on real estate but lost it all in a crash.,Affluent
Edward Green,1971-03-16,CH,Female,Widowed,Nature conservation officer,Petersen-Robinson,19,"39047 Heath Mills Apt. 204, Cassandraport, HI 92569",001-263-375-3955x9789,colleen80@example.org,Checking,PYBR97773595237591,CHF,86702.72,1448.4,832385.28,97278.08,100410.16,2,"['Savings Account', 'Investment Account']","Business Income, Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Medium,Low,LI,EAM,"[{'Stock': 'EFA', 'Shares Owned': 317, 'Allocation (%)': 54.76}, {'Stock': 'META', 'Shares Owned': 10, 'Allocation (%)': 19.49}, {'Stock': 'BA', 'Shares Owned': 179, 'Allocation (%)': 15.45}, {'Stock': 'QQQ', 'Shares Owned': 427, 'Allocation (%)': 3.66}, {'Stock': 'AGG', 'Shares Owned': 318, 'Allocation (%)': 1.34}, {'Stock': 'Roche', 'Shares Owned': 195, 'Allocation (%)': 1.19}, {'Stock': 'Novartis', 'Shares Owned': 322, 'Allocation (%)': 1.08}, {'Stock': 'MSFT', 'Shares Owned': 259, 'Allocation (%)': 1.03}, {'Stock': 'NVDA', 'Shares Owned': 342, 'Allocation (%)': 1.0}, {'Stock': 'GLD', 'Shares Owned': 468, 'Allocation (%)': 1.0000000000000044}]",Arthur Elliott, ran a quant hedge fund but lost it all in a crash.,Non-Affluent
Michael Anderson,1976-03-17,CH,Male,Married,Animator,Parker Ltd,30,"USS Erickson, FPO AP 65312",(784)247-4790,kristen36@example.net,Checking,DPBR56675927934965,CHF,76945.4,4902.8,1045120.56,227625.92,217757.08,3,"['Savings Account', 'Investment Account']","Business Income, Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,No,Cleared,High,High,SG,RM serviced PB,"[{'Stock': 'VTI', 'Shares Owned': 113, 'Allocation (%)': 77.38}, {'Stock': 'GE', 'Shares Owned': 458, 'Allocation (%)': 6.9}, {'Stock': 'CAT', 'Shares Owned': 71, 'Allocation (%)': 4.08}, {'Stock': 'SPY', 'Shares Owned': 60, 'Allocation (%)': 5.52}, {'Stock': 'AAPL', 'Shares Owned': 25, 'Allocation (%)': 1.11}, {'Stock': 'AMZN', 'Shares Owned': 390, 'Allocation (%)': 1.01}, {'Stock': 'SOL', 'Shares Owned': 408, 'Allocation (%)': 1.0}, {'Stock': 'CVX', 'Shares Owned': 202, 'Allocation (%)': 1.0}, {'Stock': 'ARKQ', 'Shares Owned': 418, 'Allocation (%)': 1.0}, {'Stock': 'NVDA', 'Shares Owned': 213, 'Allocation (%)': 1.0000000000000044}]",Cynthia Baker, built a fintech startup but lost it all in a crash.,Non-Affluent
Elizabeth Mckenzie,1982-05-06,CH,Male,Single,Photographer,Collins PLC,17,"291 Edwards River, South Mariaville, VA 69812",001-512-821-1595x0941,megan07@example.org,Savings and Investment,AHDO13138459634956,CHF,114801.68,1549.04,548639.64,58925.4,127967.84,1,"['Checking Account', 'Savings Account']","Salary, Rental Income, Stock Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Low,High,LI,Com. & Retail,"[{'Stock': 'MSFT', 'Shares Owned': 168, 'Allocation (%)': 39.09}, {'Stock': 'EEM', 'Shares Owned': 387, 'Allocation (%)': 49.42}, {'Stock': 'ARKQ', 'Shares Owned': 55, 'Allocation (%)': 2.5}, {'Stock': 'BTC', 'Shares Owned': 350, 'Allocation (%)': 1.49}, {'Stock': 'ARKF', 'Shares Owned': 472, 'Allocation (%)': 2.35}, {'Stock': 'Roche', 'Shares Owned': 148, 'Allocation (%)': 1.01}, {'Stock': 'ARKK', 'Shares Owned': 85, 'Allocation (%)': 1.06}, {'Stock': 'Volkswagen', 'Shares Owned': 423, 'Allocation (%)': 1.02}, {'Stock': 'NEE', 'Shares Owned': 23, 'Allocation (%)': 1.05}, {'Stock': 'USO', 'Shares Owned': 162, 'Allocation (%)': 1.0099999999999951}]",Arthur Elliott, built a fintech startup and achieved financial independence.,UHNWI
Thomas Peterson,1991-01-02,DE,Male,Married,Leisure centre manager,Bowman PLC,18,"3493 Mcdaniel Pike Apt. 153, Baxterport, LA 52801",(750)794-8746,theresataylor@example.net,Savings,KBTA26168711476581,CHF,108602.8,3420.4,546282.08,179715.16,237348.56,1,['Savings Account'],"Salary, Rental Income, Stock Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Income Generation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,High,Medium,CH,Com. & Retail,"[{'Stock': 'BND', 'Shares Owned': 213, 'Allocation (%)': 90.22}, {'Stock': 'GLD', 'Shares Owned': 448, 'Allocation (%)': 1.43}, {'Stock': 'CAT', 'Shares Owned': 415, 'Allocation (%)': 1.31}, {'Stock': 'BA', 'Shares Owned': 432, 'Allocation (%)': 1.01}, {'Stock': 'NVDA', 'Shares Owned': 358, 'Allocation (%)': 1.01}, {'Stock': 'TSLA', 'Shares Owned': 348, 'Allocation (%)': 1.0}, {'Stock': 'VTI', 'Shares Owned': 82, 'Allocation (%)': 1.01}, {'Stock': 'ARKF', 'Shares Owned': 390, 'Allocation (%)': 1.01}, {'Stock': 'Roche', 'Shares Owned': 360, 'Allocation (%)': 1.0}, {'Stock': 'Volkswagen', 'Shares Owned': 265, 'Allocation (%)': 1.0000000000000018}]",Cynthia Baker, invested early in tech stocks and retired early.,UHNWI
